Vendor,Camera,Sensor Dimensions Name,Focal Length,Resolution Width,Resolution Height,Sensor mm Width,Sensor mm Height,Sensor mm Diagonal,Sensor Inches Width,Sensor Inches Height,Sensor Inches Diagonal,Info
RED,EPIC-W 8K,3K 2:1,,3072,1536,11.21,5.61,12.535,0.441,0.221,0.493,
RED,EPIC-W 8K,3K WS,,3072,1296,11.21,4.73,12.167,0.441,0.186,0.479,
RED,EPIC-W 8K,3K HD,,2880,1620,10.51,5.91,12.058,0.414,0.232,0.475,
RED,EPIC-W 8K,2.5K FF,,2560,1340,9.34,4.89,10.543,0.368,0.192,0.415,
RED,EPIC-W 8K,2.5K 2:1,,2560,1280,9.34,4.67,10.442,0.368,0.184,0.411,
RED,EPIC-W 8K,2.5K WS,,2560,1080,9.34,3.94,10.137,0.368,0.155,0.399,
RED,EPIC-W 8K,2.5K HD,,2304,1296,8.41,4.73,9.649,0.331,0.186,0.38,
RED,EPIC-W 8K,2K FF,,2048,1080,7.48,3.94,8.454,0.294,0.155,0.332,
RED,EPIC-W 8K,2K 2:1,,2048,1024,7.48,3.74,8.363,0.294,0.147,0.329,
RED,EPIC-W 8K,2K WS,,2048,864,7.48,3.15,8.116,0.294,0.124,0.319,
RED,EPIC-W 8K,2K HD,,1920,1080,7.01,3.94,8.041,0.276,0.155,0.317,
RED,EPIC-W 5K,5K 1.7:1,,5120,3000,30.72,18.0,35.605,1.209,0.708,1.401,
RED,EPIC-W 5K,5K FF,,5120,2700,30.72,16.2,34.73,1.209,0.638,1.367,
RED,EPIC-W 5K,5K 2:1,,5120,2560,30.72,15.36,34.346,1.209,0.605,1.352,
RED,EPIC-W 5K,5K WS,,5120,2160,30.72,12.96,33.342,1.209,0.51,1.312,
RED,EPIC-W 5K,5K HD,,4800,2700,28.8,16.2,33.044,1.134,0.638,1.301,
RED,EPIC-W 5K,4.5K FF,,4608,2412,27.65,14.47,31.207,1.088,0.569,1.228,
RED,EPIC-W 5K,4.5K 2:1,,4608,2304,27.65,13.82,30.911,1.088,0.544,1.216,
RED,EPIC-W 5K,4.5K WS,,4608,1944,27.65,11.66,30.008,1.088,0.459,1.181,
RED,EPIC-W 5K,4.5K HD,,4320,2376,25.92,14.26,29.584,1.02,0.561,1.164,
RED,EPIC-W 5K,4K FF,,4096,2160,24.58,12.96,27.787,0.968,0.51,1.094,
RED,EPIC-W 5K,4K 2:1,,4096,2048,24.58,12.29,27.481,0.968,0.484,1.082,
RED,EPIC-W 5K,4K WS,,4096,1728,24.58,10.37,26.678,0.968,0.408,1.05,
RED,EPIC-W 5K,4K HD,,3840,2160,23.04,12.96,26.435,0.907,0.51,1.041,
RED,EPIC-W 5K,3.5K FF,,3584,1876,21.5,11.26,24.27,0.846,0.443,0.955,
RED,EPIC-W 5K,3.5K 2:1,,3584,1792,21.5,10.75,24.038,0.846,0.423,0.946,
RED,EPIC-W 5K,3.5K WS,,3584,1512,21.5,9.07,23.335,0.846,0.357,0.918,
RED,EPIC-W 5K,3.5K HD,,3456,1944,20.74,11.66,23.793,0.816,0.459,0.936,
RED,EPIC-W 5K,3K FF,,3072,1620,18.43,9.72,20.836,0.725,0.382,0.819,
RED,EPIC-W 5K,3K 2:1,,3072,1536,18.43,9.22,20.608,0.725,0.363,0.811,
RED,EPIC-W 5K,3K WS,,3072,1296,18.43,7.78,20.005,0.725,0.306,0.787,
RED,EPIC-W 5K,3K HD,,2880,1620,17.28,9.72,19.826,0.68,0.382,0.78,
RED,EPIC-W 5K,2.5K FF,,2560,1340,15.36,8.04,17.337,0.605,0.316,0.683,
RED,EPIC-W 5K,2.5K 2:1,,2560,1280,15.36,7.68,17.173,0.605,0.302,0.676,
RED,EPIC-W 5K,2.5K WS,,2560,1080,15.36,6.48,16.671,0.605,0.255,0.657,
RED,EPIC-W 5K,2.5K HD,,2304,1296,13.82,7.78,15.859,0.544,0.306,0.624,
RED,EPIC-W 5K,2K FF,,2048,1080,12.29,6.48,13.894,0.484,0.255,0.547,
RED,EPIC-W 5K,2K 2:1,,2048,1024,12.29,6.14,13.738,0.484,0.242,0.541,
RED,EPIC-W 5K,2K WS,,2048,864,12.29,5.18,13.337,0.484,0.204,0.525,
RED,EPIC-W 5K,2K HD,,1920,1080,11.52,6.48,13.217,0.453,0.255,0.52,
RED,EPIC MYSTERIUM-X 5K S35,5K FF,,5120,2700,27.65,14.58,31.259,1.088,0.574,1.23,
RED,EPIC MYSTERIUM-X 5K S35,5K HD,,4800,2700,25.92,14.58,29.739,1.02,0.574,1.17,
RED,EPIC MYSTERIUM-X 5K S35,5K 2:1,,5120,2560,27.65,13.83,30.916,1.088,0.544,1.216,
RED,EPIC MYSTERIUM-X 5K S35,5K WS,,5120,2160,27.65,11.66,30.008,1.088,0.459,1.181,
RED,EPIC MYSTERIUM-X 5K S35,5K ANA,,3600,2700,19.44,14.58,24.3,0.765,0.574,0.956,
RED,EPIC MYSTERIUM-X 5K S35,4K,,4096,2160,22.12,11.66,25.005,0.87,0.459,0.984,
RED,EPIC MYSTERIUM-X 5K S35,4K HD,,3840,2160,20.74,11.66,23.793,0.816,0.459,0.936,
RED,EPIC MYSTERIUM-X 5K S35,4K 2:1,,4096,2048,22.12,11.06,24.731,0.87,0.435,0.973,
RED,EPIC MYSTERIUM-X 5K S35,4K WS,,4096,1706,22.12,9.21,23.961,0.87,0.362,0.942,
RED,EPIC MYSTERIUM-X 5K S35,3K,,3072,1620,16.59,8.75,18.756,0.653,0.344,0.738,
RED,EPIC MYSTERIUM-X 5K S35,3K HD,,2880,1620,15.55,8.75,17.843,0.0,0.344,0.344,
RED,EPIC MYSTERIUM-X 5K S35,3K 2:1,,3072,1536,16.59,8.29,18.546,0.653,0.326,0.73,
RED,EPIC MYSTERIUM-X 5K S35,3K WS,,3072,1280,16.59,6.91,17.972,0.653,0.272,0.707,
RED,EPIC MYSTERIUM-X 5K S35,2K,,2048,1080,11.06,5.83,12.502,0.435,0.229,0.492,
RED,EPIC MYSTERIUM-X 5K S35,2K HD,,1920,1080,10.37,5.83,11.896,0.408,0.229,0.468,
RED,EPIC MYSTERIUM-X 5K S35,2K 2:1,,2048,1024,11.06,5.54,12.37,0.435,0.218,0.487,
RED,EPIC MYSTERIUM-X 5K S35,2K WS,,2048,854,11.06,4.61,11.982,0.435,0.181,0.471,
RED,EPIC MYSTERIUM-X 5K S35,1K HD,,1280,720,6.91,3.88,7.925,0.272,0.153,0.312,
RED,EPIC MYSTERIUM-X 5K S35,1K WS,,1280,480,6.91,2.59,7.379,0.272,0.102,0.29,
RED,SCARLET-W 6K,6K FF,,6144,3160,30.72,15.8,34.545,1.209,0.622,1.36,
RED,SCARLET-W 6K,5K FF,,5120,2700,25.58,13.49,28.919,1.007,0.531,1.138,
RED,SCARLET-W 6K,5K 2:1,,5120,2560,25.58,12.79,28.599,1.007,0.503,1.126,
RED,SCARLET-W 6K,5K WS,,5120,2160,25.58,10.79,27.763,1.007,0.424,1.093,
RED,SCARLET-W 6K,5K HD,,4800,2700,23.98,13.49,27.514,0.944,0.531,1.083,
RED,SCARLET-W 6K,4K FF,,4096,2160,20.47,10.79,23.14,0.806,0.425,0.911,
RED,SCARLET-W 6K,4K 2:1,,4096,2048,20.47,10.23,22.884,0.806,0.403,0.901,
RED,SCARLET-W 6K,4K WS,,4096,1728,20.47,8.63,22.215,0.806,0.339,0.874,
RED,SCARLET-W 6K,4K HD,,3840,2160,19.19,10.79,22.015,0.755,0.425,0.866,
RED,SCARLET-W 6K,3K FF,,3072,1620,15.36,8.1,17.365,0.605,0.319,0.684,
RED,SCARLET-W 6K,3K 2:1,,3072,1536,15.36,7.68,17.173,0.605,0.302,0.676,
RED,SCARLET-W 6K,3K WS,,3072,1296,15.36,6.48,16.671,0.605,0.255,0.657,
RED,SCARLET-W 6K,3K HD,,2880,1620,14.4,8.1,16.522,0.567,0.319,0.651,
RED,SCARLET-W 6K,2K FF,,2048,1080,10.24,5.4,11.577,0.403,0.212,0.455,
RED,SCARLET-W 6K,2K 2:1,,2048,1024,10.24,5.12,11.449,0.403,0.201,0.45,
RED,SCARLET-W 6K,2K WS,,2048,864,10.24,4.32,11.114,0.403,0.17,0.437,
RED,SCARLET-W 6K,2K HD,,1920,1080,9.6,5.4,11.015,0.378,0.212,0.433,
RED,SCARLET-W 5K,5K FF,,5120,2700,25.58,13.49,28.919,1.007,0.531,1.138,
RED,SCARLET-W 5K,5K 2:1,,5120,2560,25.58,12.79,28.599,1.007,0.503,1.126,
RED,SCARLET-W 5K,5K WS,,5120,2160,25.58,10.79,27.763,1.007,0.424,1.093,
RED,SCARLET-W 5K,5K HD,,4800,2700,23.98,13.49,27.514,0.944,0.531,1.083,
RED,SCARLET-W 5K,4.5K FF,,4608,2432,23.04,12.16,26.052,0.907,0.479,1.026,
RED,SCARLET-W 5K,4.5K 2:1,,4608,2304,23.04,11.52,25.76,0.907,0.453,1.014,
RED,SCARLET-W 5K,4.5K WS,,4608,1944,23.04,9.72,25.006,0.907,0.382,0.984,
RED,SCARLET-W 5K,4.5K HD,,4320,2432,21.6,12.16,24.788,0.85,0.479,0.976,
RED,SCARLET-W 5K,4K FF,,4096,2160,20.47,10.79,23.14,0.806,0.425,0.911,
RED,SCARLET-W 5K,4K 2:1,,4096,2048,20.47,10.23,22.884,0.806,0.403,0.901,
RED,SCARLET-W 5K,4K WS,,4096,1728,20.47,8.63,22.215,0.806,0.339,0.874,
RED,SCARLET-W 5K,4K HD,,3840,2160,19.19,10.79,22.015,0.755,0.425,0.866,
RED,SCARLET-W 5K,3.5K FF,,3584,1876,17.92,9.38,20.226,0.705,0.369,0.796,
RED,SCARLET-W 5K,3.5K 2:1,,3584,1792,17.92,8.96,20.035,0.705,0.353,0.788,
RED,SCARLET-W 5K,3.5K WS,,3584,1512,17.92,7.56,19.449,0.705,0.297,0.765,
RED,SCARLET-W 5K,3.5K HD,,3360,1876,16.8,9.38,19.241,0.661,0.369,0.757,
RED,SCARLET-W 5K,3K FF,,3072,1620,15.36,8.1,17.365,0.605,0.319,0.684,
RED,SCARLET-W 5K,3K 2:1,,3072,1536,15.36,7.68,17.173,0.605,0.302,0.676,
RED,SCARLET-W 5K,3K WS,,3072,1296,15.36,6.48,16.671,0.605,0.255,0.657,
RED,SCARLET-W 5K,3K HD,,2880,1620,14.4,8.1,16.522,0.567,0.319,0.651,
RED,SCARLET-W 5K,2.5K FF,,2560,1340,12.8,6.7,14.447,0.504,0.264,0.569,
RED,SCARLET-W 5K,2.5K 2:1,,2560,1280,12.8,6.4,14.311,0.504,0.252,0.563,
RED,SCARLET-W 5K,2.5K WS,,2560,1080,12.8,5.4,13.892,0.504,0.212,0.547,
RED,SCARLET-W 5K,2.5K HD,,2400,1340,12.0,6.7,13.744,0.472,0.264,0.541,
RED,SCARLET-W 5K,2K FF,,2048,1080,10.24,5.4,11.577,0.403,0.212,0.455,
RED,SCARLET-W 5K,2K 2:1,,2048,1024,10.24,5.12,11.449,0.403,0.201,0.45,
RED,SCARLET-W 5K,2K WS,,2048,864,10.24,4.32,11.114,0.403,0.17,0.437,
RED,SCARLET-W 5K,2K HD,,1920,1080,9.6,5.4,11.015,0.378,0.212,0.433,
RED,SCARLET MX,5K FF,,5120,2700,27.65,14.58,31.259,1.088,0.574,1.23,
RED,SCARLET MX,5K HD,,4800,2700,25.92,14.58,29.739,1.02,0.574,1.17,
RED,SCARLET MX,5K 2:1,,5120,2560,27.65,13.83,30.916,1.088,0.544,1.216,
RED,SCARLET MX,5K WS,,5120,2160,27.65,11.66,30.008,1.088,0.459,1.181,
RED,SCARLET MX,5K ANA,,3600,2700,19.44,14.58,24.3,0.765,0.574,0.956,
RED,SCARLET MX,4K,,4096,2160,22.12,11.66,25.005,0.87,0.459,0.984,
RED,SCARLET MX,4K HD,,3840,2160,20.74,11.66,23.793,0.816,0.459,0.936,
RED,SCARLET MX,4K 2:1,,4096,2048,22.12,11.06,24.731,0.87,0.435,0.973,
RED,SCARLET MX,4K WS,,4096,1706,22.12,9.21,23.961,0.87,0.362,0.942,
RED,SCARLET MX,3K,,3072,1620,16.59,8.75,18.756,0.653,0.344,0.738,
RED,SCARLET MX,3K HD,,2880,1620,15.55,8.75,17.843,0.0,0.344,0.344,
RED,SCARLET MX,3K 2:1,,3072,1536,16.59,8.29,18.546,0.653,0.326,0.73,
RED,SCARLET MX,3K WS,,3072,1280,16.59,6.91,17.972,0.653,0.272,0.707,
RED,SCARLET MX,2K,,2048,1080,11.06,5.83,12.502,0.435,0.229,0.492,
RED,SCARLET MX,2K HD,,1920,1080,10.37,5.83,11.896,0.408,0.229,0.468,
RED,SCARLET MX,2K 2:1,,2048,1024,11.06,5.54,12.37,0.435,0.218,0.487,
RED,SCARLET MX,2K WS,,2048,854,11.06,4.61,11.982,0.435,0.181,0.471,
RED,SCARLET MX,1K HD,,1280,720,6.91,3.88,7.925,0.272,0.153,0.312,
RED,SCARLET MX,1K WS,,1280,480,6.91,2.59,7.379,0.272,0.102,0.29,
RED,RAVEN 4.5K,4.5K 2.1,,4608,2160,23.04,10.8,25.446,0.907,0.425,1.002,
RED,RAVEN 4.5K,4.5K WS,,4608,1944,23.04,9.72,25.006,0.907,0.382,0.984,
RED,RAVEN 4.5K,4K FF,,4096,2160,20.48,10.8,23.153,0.806,0.425,0.911,
RED,RAVEN 4.5K,4K 2:1,,4096,2048,20.48,10.24,22.897,0.806,0.403,0.901,
RED,RAVEN 4.5K,4K WS,,4096,1728,20.48,8.64,22.228,0.806,0.34,0.875,
RED,RAVEN 4.5K,4K HD,,3840,2160,19.2,10.8,22.029,0.756,0.425,0.867,
RED,RAVEN 4.5K,3.5K FF,,3584,1876,17.92,9.38,20.226,0.705,0.369,0.796,
RED,RAVEN 4.5K,3.5K 2:1,,3584,1792,17.92,8.96,20.035,0.705,0.353,0.788,
RED,RAVEN 4.5K,3.5K WS,,3584,1512,17.92,7.56,19.449,0.705,0.297,0.765,
RED,RAVEN 4.5K,3.5K HD,,3360,1876,16.8,9.38,19.241,0.661,0.369,0.757,
RED,RAVEN 4.5K,3K FF,,3072,1620,15.36,8.1,17.365,0.605,0.319,0.684,
RED,RAVEN 4.5K,3K 2:1,,3072,1536,15.36,7.68,17.173,0.605,0.302,0.676,
RED,RAVEN 4.5K,3K WS,,3072,1296,15.36,6.48,16.671,0.605,0.255,0.657,
RED,RAVEN 4.5K,3K HD,,2880,1620,14.4,8.1,16.522,0.567,0.319,0.651,
RED,RAVEN 4.5K,2.5K FF,,2560,1340,12.8,6.7,14.447,0.504,0.264,0.569,
RED,RAVEN 4.5K,2.5K 2:1,,2560,1280,12.8,6.4,14.311,0.504,0.252,0.563,
RED,RAVEN 4.5K,2.5K WS,,2560,1080,12.8,5.4,13.892,0.504,0.212,0.547,
RED,RAVEN 4.5K,2.5K HD,,2400,1340,12.0,6.7,13.744,0.472,0.264,0.541,
RED,RAVEN 4.5K,2K FF,,2048,1080,10.24,5.4,11.577,0.403,0.212,0.455,
RED,RAVEN 4.5K,2K 2:1,,2048,1024,10.24,5.12,11.449,0.403,0.0,0.403,
RED,RAVEN 4.5K,2K WS,,2048,864,10.24,4.32,11.114,0.403,0.17,0.437,
RED,RAVEN 4.5K,2K HD,,1920,1080,9.6,5.4,11.015,0.378,0.212,0.433,
RED,RAVEN 4.5K,1K HD,,1280,720,6.91,3.88,7.925,0.272,0.153,0.312,
RED,RAVEN 4.5K,1K WS,,1280,480,6.91,2.59,7.379,0.272,0.102,0.29,
RED,One MX,4.5K WS,,4480,1920,24.19,10.37,26.319,0.952,0.408,1.036,
RED,One MX,4K HD 4096 x 2304,,4096,2304,22.12,12.44,25.378,0.87,0.489,0.998,
RED,One MX,4K 2:1,,4096,2048,22.12,11.06,24.731,0.87,0.435,0.973,
RED,One MX,4K HD 3840 x 2160,,3840,2160,20.74,11.66,23.793,0.816,0.459,0.936,
RED,One MX,4K ANA,,2816,2304,15.21,12.44,19.649,0.598,0.489,0.772,
RED,One MX,3K HD,,3072,1728,16.59,9.33,19.034,0.653,0.367,0.749,
RED,One MX,3K 2:1,,3072,1536,16.59,8.29,18.546,0.653,0.326,0.73,
RED,One MX,3K ANA,,2112,1728,11.4,9.33,14.731,0.448,0.367,0.579,
RED,One MX,2K HD,,2048,1152,11.06,6.22,12.689,0.435,0.245,0.499,
RED,One MX,2K 2:1,,2048,1024,11.06,5.54,12.37,0.435,0.218,0.487,
RED,One MX,2K ANA,,1408,1152,7.6,6.22,9.821,0.299,0.245,0.387,
Sony,VENICE,6K Full Frame Mode 6K 1.85:1,,6054,3272,36.0,19.4,40.894,1.417,0.764,1.61,
Sony,VENICE,6K Full Frame Mode 6K 17:9,,6054,3192,36.0,19.0,40.706,1.417,0.748,1.602,
Sony,VENICE,6K Full Frame Mode 6K 3:2,,6048,4032,35.9,24.0,43.183,1.413,0.945,1.7,
Sony,VENICE,6K Full Frame Mode 6K 2.39:1,,6048,2534,35.9,15.0,38.908,1.413,0.59,1.531,
Sony,VENICE,6K Full Frame Mode 5.7K 16:9,,5670,3190,33.7,18.9,38.638,1.327,0.744,1.521,
Sony,VENICE,4K Anamorphic Mode 4K 6:5,,4096,3432,24.3,20.4,31.728,0.957,0.803,1.249,
Sony,VENICE,4K Anamorphic Mode 4K 4:3,,4096,3024,24.3,18.0,30.241,0.957,0.708,1.19,
Sony,VENICE,4K Super35 Mode 4K 17:9,,4096,2160,24.3,12.8,27.465,0.957,0.504,1.082,
Sony,VENICE,4K Super35 Mode 3.8K 16:9,,3840,2160,22.8,12.8,26.147,0.898,0.504,1.03,
Sony,F65,All,,,,24.7,13.1,27.959,0.972,0.516,1.1,
Sony,F55,All,,,,24.0,12.7,27.153,0.945,0.5,1.069,
Sony,F5,All,,,,24.0,12.7,27.153,0.945,0.5,1.069,
Sony,F35,All,,,,23.6,13.3,27.09,0.929,0.523,1.066,
Sony,PMW-F3,All,,,,23.6,13.3,27.09,0.929,0.523,1.066,
Sony,F23,All,,,,9.59,5.39,11.001,0.377,0.212,0.433,
Sony,HDC-4800,All,,,,23.6,13.3,27.09,0.929,0.523,1.066,
Sony,HDC-P1,All,,,,9.59,5.39,11.001,0.377,0.212,0.433,
Sony,HDC-F950,All,,,,9.59,5.39,11.001,0.377,0.212,0.433,
Sony,HDW-F900R,All,,,,9.59,5.39,11.001,0.377,0.212,0.433,
Sony,NEX-FS700,All,,,,24.0,12.7,27.153,0.945,0.5,1.069,
Sony,NEX-FS100,All,,,,23.6,13.3,27.09,0.929,0.523,1.066,
Sony,NEX-VG900,All,,,,35.8,20.1,41.057,1.409,0.791,1.616,
Sony,NEX-VG30H,All,,,,23.5,13.2,26.953,0.925,0.519,1.061,
Sony,NEX-VG20,All,,,,23.6,13.3,27.09,0.929,0.523,1.066,
Sony,PMW-EX1,All,,,,6.97,3.92,7.997,0.274,0.154,0.314,
Sony,PMW-EX3,All,,,,6.97,3.92,7.997,0.274,0.154,0.314,
Sony,PXW-FS7,All,,,,23.6,13.3,27.09,0.929,0.523,1.066,
Sony,PXW-FS5,All,,,,23.6,13.3,27.09,0.929,0.523,1.066,
Sony,PXW-Z150,All,,,,13.2,8.8,15.864,0.519,0.346,0.624,
Sony,SRW-9000PL,All,,,,23.6,13.3,27.09,0.929,0.523,1.066,
Sony,SRW-9000,All,,,,9.59,5.39,11.001,0.377,0.212,0.433,
Sony,UMC-S3C,All,,,,36.0,20.25,41.305,0.519,0.346,0.624,
Sony,FDR-X1000V,All,,,,6.19,4.57,7.694,0.243,0.179,0.302,
Sony,HDR-AS200V,All,,,,6.19,4.57,7.694,0.243,0.179,0.302,
Sony,HDR-AS100V,All,,,,6.19,4.57,7.694,0.243,0.179,0.302,
Sony,HDR-AZ1VR,All,,,,6.19,4.57,7.694,0.243,0.179,0.302,
Sony,HDR-AS30V,All,,,,6.19,4.57,7.694,0.243,0.179,0.302,
Sony,HDR-AS20V,All,,,,6.19,4.57,7.694,0.243,0.179,0.302,
Sony,a7 III,All,,,,35.6,23.8,42.823,1.401,0.937,1.685,
Sony,a7 II,All,,,,35.8,20.1,41.057,1.409,0.791,1.616,
Sony,a7R II,All,,,,35.9,20.2,41.193,1.41,0.795,1.619,
Sony,a7S,All,,,,35.8,20.1,41.057,1.41,0.793,1.618,
Sony,a99,All,,,,35.8,20.1,41.057,1.41,0.793,1.618,
Sony,a77,All,,,,23.5,13.2,26.953,0.925,0.52,1.061,
Sony,a6500,All,,,,23.5,15.6,28.207,0.925,0.614,1.11,
DJI,Osmo Pro and Raw,All,,,,17.3,9.7,19.834,0.681,0.381,0.78,
DJI,Osmo+,All,,,,6.17,3.47,7.079,0.243,0.136,0.278,
DJI,Osmo,All,,,,6.17,3.47,7.079,0.243,0.136,0.278,
DJI,Zenmuse X7,CinemaDNG 6016 x 3200,,6016,3200,23.5,12.5,26.618,0.925,0.492,1.048,
DJI,Zenmuse X7,CinemaDNG 5760 x 3240,,5760,3240,22.5,12.7,25.837,0.886,0.5,1.017,
DJI,Zenmuse X7,CinemaDNG 4096 x 2160,,4096,2160,23.5,12.5,26.618,0.925,0.492,1.048,
DJI,Zenmuse X7,CinemaDNG 3944 x 2088,,3944,2088,15.4,8.2,17.447,0.606,0.323,0.687,
DJI,Zenmuse X7,CinemaDNG 3840 x 2160,,3840,2160,22.5,12.7,25.837,0.886,0.5,1.017,
DJI,Zenmuse X7,CinemaDNG 3712 x 2088,,3712,2088,14.5,8.2,16.658,0.571,0.323,0.656,
DJI,Zenmuse X7,Apple ProRes 4444 XQ 3840 x 2160,,3840,2160,22.5,12.7,25.837,0.886,0.5,1.017,
DJI,Zenmuse X7,Apple ProRes 4444 XQ 2048 x 1080,,2048,1080,15.4,8.2,17.447,0.606,0.323,0.687,
DJI,Zenmuse X7,Apple ProRes 4444 XQ 1920 x 1080,,1920,1080,14.5,8.2,16.658,0.571,0.323,0.656,
DJI,Zenmuse X7,Apple ProRes 422 HQ 5280 x 2160,,5280,2160,23.5,9.6,25.385,0.925,0.378,0.999,
DJI,Zenmuse X7,Apple ProRes 422 HQ 4096 x 2160,,4096,2160,23.5,12.5,26.618,0.925,0.492,1.048,
DJI,Zenmuse X7,Apple ProRes 422 HQ 3840 x 2160,,3840,2160,22.5,12.7,25.837,0.886,0.5,1.017,
DJI,Zenmuse X7,Apple ProRes 422 HQ 2704 x 1520,,2704,1520,14.5,8.2,16.658,0.571,0.323,0.656,
DJI,Zenmuse X7,Apple ProRes 422 HQ 2048 x 1080,,2048,1080,15.4,8.2,17.447,0.606,0.323,0.687,
DJI,Zenmuse X7,Apple ProRes 422 HQ 1920 x 1080,,1920,1080,14.5,8.2,16.658,0.571,0.323,0.656,
DJI,Zenmuse X7,H.265 4096 x 2160,,4096,2160,23.5,12.5,26.618,0.925,0.492,1.048,
DJI,Zenmuse X7,H.265 3840 x 2160,,3840,2160,22.5,12.7,25.837,0.886,0.5,1.017,
DJI,Zenmuse X7,H.265 3840 x 1572,,3840,1572,23.5,9.6,25.385,0.925,0.378,0.999,
DJI,Zenmuse X7,H.265 2720 x 1530,,2720,1530,22.5,12.7,25.837,0.886,0.5,1.017,
DJI,Zenmuse X7,H.265 1920 x 1080,,1920,1080,22.5,12.7,25.837,0.886,0.5,1.017,
DJI,Zenmuse X7,H.264 4096 x 2160,,4096,2160,23.5,12.5,26.618,0.925,0.492,1.048,
DJI,Zenmuse X7,H.264 3840 x 2160,,3840,2160,22.5,12.7,25.837,0.886,0.5,1.017,
DJI,Zenmuse X7,H.264 3840 x 1572,,3840,1572,23.5,9.6,25.385,0.925,0.378,0.999,
DJI,Zenmuse X7,H.264 2720 x 1530,,2720,1530,22.5,12.7,25.837,0.886,0.5,1.017,
DJI,Zenmuse X7,H.264 1920 x 1080,,1920,1080,22.5,12.7,25.837,0.886,0.5,1.017,
DJI,Zenmuse X5R,All,,,,17.3,9.7,19.834,0.681,0.381,0.78,
DJI,Zenmuse X5S,All,,,,17.3,9.7,19.834,0.681,0.381,0.78,
DJI,Zenmuse X5,All,,,,17.3,9.7,19.834,0.681,0.381,0.78,
DJI,Zenmuse X4S,All,,,,12.8,7.2,14.686,0.504,0.283,0.578,
DJI,Inspire 1,All,,,,6.17,3.47,7.079,0.243,0.136,0.278,
DJI,Mavic Air,All,,,,6.17,3.47,7.079,0.243,0.136,0.278,
DJI,Mavic,All,,,,6.17,3.47,7.079,0.243,0.136,0.278,
DJI,Phantom 4 Pro,All,,,,12.8,7.2,14.686,0.504,0.283,0.578,
DJI,Phantom 4 Advanced,All,,,,12.8,7.2,14.686,0.504,0.283,0.578,
DJI,Phantom 4,All,,,,6.17,3.47,7.079,0.243,0.136,0.278,
GoPro,HERO7 Black,All,,,,6.17,4.63,7.714,0.243,0.182,0.304,
GoPro,HERO6 Black,All,,,,6.17,4.63,7.714,0.243,0.182,0.304,
GoPro,HERO5 Black,All,,,,6.17,3.47,7.079,0.243,0.137,0.279,
GoPro,HERO5 Session,All,,,,4.54,3.42,5.684,0.179,0.135,0.224,
GoPro,HERO4 Black,All,,,,6.17,4.55,7.666,0.243,0.179,0.302,
GoPro,HERO4 Silver,All,,,,5.37,4.04,6.72,0.211,0.159,0.264,
GoPro,HERO4 Session,All,,,,4.57,3.43,5.714,0.179,0.135,0.224,
GoPro,HERO,All,,,,4.57,3.43,5.714,0.179,0.135,0.224,
GoPro,HERO3+ Black Edition,All,,,,6.17,4.55,7.666,0.243,0.179,0.302,
GoPro,HERO3+ Silver Edition,All,,,,5.37,4.04,6.72,0.211,0.159,0.264,
GoPro,HERO3 Black Edition,All,,,,6.17,4.55,7.666,0.243,0.179,0.302,
GoPro,HERO3 White Edition,All,,,,5.76,4.29,7.182,0.227,0.169,0.283,
GoPro,HERO3 Silver Edition,All,,,,5.37,4.04,6.72,0.211,0.159,0.264,
GoPro,HD HERO2,All,,,,5.76,4.29,7.182,0.22,0.17,0.278,
GoPro,HD HERO,All,,,,5.76,4.29,7.182,0.22,0.17,0.278,
Nikon,D4,All,,,,36.0,20.25,41.305,1.417,0.797,1.626,
Nikon,D7100,All,,,,23.6,13.275,27.077,0.929,0.523,1.066,
Nikon,D7000,All,,,,23.6,13.275,27.077,0.929,0.523,1.066,
Nikon,D5100,All,,,,23.6,13.275,27.077,0.929,0.523,1.066,
Nikon,D90,All,,,,23.6,13.275,27.077,0.929,0.523,1.066,
